"date","site","sif"
"2007-01-15","CA-Let",0.0175445862114429
"2007-02-15","CA-Let",0.0620405860245228
"2007-03-15","CA-Let",0.0010193029884249
"2007-04-15","CA-Let",-0.0582956336438656
"2007-05-15","CA-Let",0.272426575422287
"2007-06-15","CA-Let",0.719075858592987
"2007-07-15","CA-Let",0.79082453250885
"2007-08-15","CA-Let",0.19923985004425
"2007-09-15","CA-Let",0.129791244864464
"2007-10-15","CA-Let",0.0773335546255112
"2007-11-15","CA-Let",-0.0432924218475819
"2008-01-15","CA-Let",-0.0289027318358421
"2008-02-15","CA-Let",-0.063880056142807
"2008-03-15","CA-Let",-0.00316288322210312
"2008-04-15","CA-Let",-0.0200685877352953
"2008-05-15","CA-Let",0.280067473649979
"2008-06-15","CA-Let",0.775341749191284
"2008-07-15","CA-Let",0.8340744972229
"2008-08-15","CA-Let",0.350440710783005
"2008-09-15","CA-Let",0.279889613389969
"2008-10-15","CA-Let",0.0687154978513718
"2008-11-15","CA-Let",0.0403229780495167
"2008-12-15","CA-Let",-0.197362765669823
"2009-02-15","CA-Let",-0.0226683914661407
"2009-03-15","CA-Let",0.108213879168034
"2009-04-15","CA-Let",0.0109947798773646
"2009-05-15","CA-Let",0.193070814013481
"2009-06-15","CA-Let",0.415603786706924
"2009-07-15","CA-Let",0.811285376548767
"2009-08-15","CA-Let",0.352695405483246
"2009-09-15","CA-Let",0.187607422471046
"2009-10-15","CA-Let",0.0420630685985088
"2009-11-15","CA-Let",0.0465126857161522
"2010-01-15","CA-Let",0.0188513919711113
"2010-02-15","CA-Let",-0.00198141485452652
"2010-03-15","CA-Let",-0.000715930014848709
"2010-04-15","CA-Let",0.0360856615006924
"2010-05-15","CA-Let",0.149572968482971
"2010-06-15","CA-Let",0.322113692760468
"2010-07-15","CA-Let",0.703092992305756
"2010-08-15","CA-Let",0.617368102073669
"2010-09-15","CA-Let",0.127827256917953
"2010-10-15","CA-Let",0.108681127429008
"2010-11-15","CA-Let",0.0335465334355831
"2011-03-15","CA-Let",-0.0334103107452393
"2011-04-15","CA-Let",0.0348235294222832
"2011-05-15","CA-Let",0.0246797110885382
"2011-06-15","CA-Let",0.403599202632904
"2011-07-15","CA-Let",0.85808664560318
"2011-08-15","CA-Let",0.527870059013367
"2011-09-15","CA-Let",0.124795615673065
"2011-10-15","CA-Let",0.056131225079298
"2011-11-15","CA-Let",0.0248905010521412
"2012-01-15","CA-Let",-0.0120609635487199
"2012-02-15","CA-Let",0.0982032716274261
"2012-03-15","CA-Let",0.0139440046623349
"2012-04-15","CA-Let",0.113284975290298
"2012-05-15","CA-Let",0.113891273736954
"2012-06-15","CA-Let",0.653905868530273
"2012-07-15","CA-Let",0.784514427185059
"2012-08-15","CA-Let",0.355262875556946
"2012-09-15","CA-Let",0.102190814912319
"2012-10-15","CA-Let",0.054304663091898
"2012-11-15","CA-Let",0.0491972900927067
"2012-12-15","CA-Let",-0.0961116701364517
"2013-01-15","CA-Let",0.081245131790638
"2013-02-15","CA-Let",0.00656887982040644
"2013-03-15","CA-Let",0.123583987355232
"2013-04-15","CA-Let",0.0311632100492716
"2013-05-15","CA-Let",0.0904110670089722
"2013-06-15","CA-Let",0.733032822608948
"2013-07-15","CA-Let",0.785819888114929
"2013-08-15","CA-Let",0.51575094461441
"2013-09-15","CA-Let",0.0481294542551041
"2013-10-15","CA-Let",0.100469164550304
"2013-11-15","CA-Let",0.053749855607748
"2014-01-15","CA-Let",0.143949314951897
"2014-02-15","CA-Let",0.0508848391473293
"2014-03-15","CA-Let",-0.0190646797418594
"2014-04-15","CA-Let",0.118222020566463
"2014-05-15","CA-Let",0.0612005293369293
"2014-06-15","CA-Let",0.39899930357933
"2014-07-15","CA-Let",0.856625616550446
"2014-08-15","CA-Let",0.385132014751434
"2014-09-15","CA-Let",0.222014546394348
"2014-10-15","CA-Let",0.112188711762428
"2014-11-15","CA-Let",0.0743172094225883
"2014-12-15","CA-Let",0.0581686720252037
"2015-01-15","CA-Let",0.0383869335055351
"2015-02-15","CA-Let",0.0564446002244949
"2015-03-15","CA-Let",0.034412045031786
